pax_tax,pax_fcny,avg_dist_cnt_m3,seg_flight,tkt_3y_amt,dist_cnt_y3,dist_i_cnt_y3,seat_walkway_cnt_y3,flt_bag_cnt_y1,dist_i_cnt_y2,pref_month_m3_1,seg_route_to,avg_dist_cnt_m6,tkt_avg_amt_y3,emd_lable2
427.53,290.0,0.0,AB1008,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
29410.0,61500.0,0.0,AB1006,3733.66,30239,30239,3,4,30239,0,JFK,7645.0,933.415,0
263.96,3515.0,0.0,AB1010,23372.29,12934,12934,1,0,0,0,JFK,0.0,0.0,0
281.43,2350.0,0.0,AB1009,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
215.56,690.0,0.0,AB1009,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
226.41,1326.0,0.0,AB1006,15468.15,28800,28800,1,0,15866,0,JFK,0.0,0.0,0
320.99,2492.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
264.03,2890.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
283.11,290.0,0.0,AB1008,1550.45,25485,25485,0,0,25485,0,LAX,0.0,0.0,0
277.81,1844.0,0.0,AB1006,11815.98,28705,28705,0,0,28705,0,JFK,0.0,2953.995,0
280.46,135.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
299.91,300.0,0.0,AB1008,0.0,0,0,0,0,0,0,LAX,0.0,488.0925,0
270.36,756.0,2764.0,AB1006,0.0,0,0,0,0,0,12,JFK,2764.0,1407.133333,0
290.73,2915.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
400.66,320.0,0.0,AB1015,606.28,8520,8520,1,0,0,0,LAX,0.0,0.0,0
455.51,1024.0,0.0,AB1010,9824.84,26478,26478,2,0,26478,0,JFK,0.0,0.0,0
455.51,1036.0,0.0,AB1010,9824.84,26478,26478,2,0,26478,0,JFK,0.0,0.0,0
455.51,1012.0,0.0,AB1010,9824.84,26478,26478,2,0,26478,0,JFK,0.0,0.0,0
455.51,903.0,0.0,AB1010,9824.84,26478,26478,2,0,26478,0,JFK,0.0,0.0,0
289.83,3276.0,0.0,AB1008,70511.25,45494,42097,3,2,42097,0,LAX,0.0,0.0,0
190.01,1316.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,9142.333333,5319.4525,0
30530.0,57500.0,0.0,AB1008,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
454.16,566.0,0.0,AB1006,6808.27,50374,50374,3,0,24440,0,JFK,0.0,2049.18,0
279.41,2100.0,0.0,AB1006,20499.87,45482,45482,6,0,45482,0,JFK,0.0,0.0,0
338200.0,285000.0,0.0,AB1008,0.0,0,0,0,0,0,0,LAX,0.0,420.76,0
243.51,704.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,3166.755,1
231.71,550.0,0.0,AB1008,3756.12,13673,13673,0,0,13673,0,LAX,0.0,1878.06,0
297.63,120.0,0.0,AB1009,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
232.93,550.0,0.0,AB1008,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
292.31,1983.0,0.0,AB1008,0.0,0,0,0,0,0,0,LAX,0.0,12446.1,0
477.76,2181.0,0.0,AB1008,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
450.61,1767.0,0.0,AB1006,22400.41,65346,65346,1,0,26478,0,JFK,0.0,0.0,0
545.61,3230.0,0.0,AB1010,38352.7,55143,49770,3,0,49770,0,JFK,0.0,0.0,0
366.76,313.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,0.0,1050.87,0
270.41,510.0,0.0,AB1008,2126.27,12254,12254,1,0,12254,0,LAX,0.0,0.0,0
573.8,300.0,0.0,AB1008,979.89,29761,29761,2,0,0,0,LAX,0.0,365.63,0
305.36,235.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,0.0,394.495,0
232.86,380.0,0.0,AB1008,0.0,0,0,0,0,0,0,LAX,0.0,1310.165,0
422.53,353.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
455.43,1260.0,0.0,AB1006,20520.58,49316,48153,2,2,48153,0,JFK,0.0,0.0,0
455.43,1485.0,0.0,AB1006,20520.58,49316,48153,2,2,48153,0,JFK,0.0,0.0,0
283.26,390.0,0.0,AB1006,2618.77,28602,28602,0,0,0,0,JFK,0.0,0.0,0
283.91,495.0,0.0,AB1009,3221.4,23675,23675,4,0,23675,0,LAX,0.0,0.0,0
342600.0,390000.0,0.0,AB1010,2318.94,28705,28705,2,0,28705,0,JFK,0.0,0.0,0
278.11,570.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,913.11,1
277.01,1080.0,0.0,AB1006,6953.87,30444,30444,1,0,30444,0,JFK,0.0,0.0,0
443.23,194.0,0.0,AB1009,1769.94,23191,23191,2,1,23191,0,LAX,10867.0,589.98,1
308.76,610.0,0.0,AB1008,4203.27,24674,24674,2,0,0,0,LAX,0.0,0.0,0
565.13,2814.0,0.0,AB1010,43472.78,69285,69285,5,2,43351,0,JFK,0.0,0.0,0
256.26,2670.0,0.0,AB1006,17639.89,16977,16977,1,0,0,0,JFK,0.0,0.0,0
271.26,109.0,0.0,AB1009,0.0,0,0,0,0,0,0,LAX,0.0,139.7766667,0
469.96,2200.0,0.0,AB1008,0.0,0,0,0,0,0,0,LAX,10808.0,3242.527143,0
283.51,2100.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
293.03,2582.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
519.16,2100.0,0.0,AB1010,17070.79,61341,60917,3,0,46062,0,JFK,0.0,0.0,0
299.36,340.0,0.0,AB1010,7056.94,58596,52956,5,4,52956,0,JFK,0.0,0.0,1
243.21,459.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,0.0,1446.885,0
242.31,385.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,0.0,1446.885,0
433.93,480.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,0.0,1446.885,0
427.43,200.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
427.33,225.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
279.76,245.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,0.0,411.28,0
438.23,350.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
278.76,490.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
299.46,295.0,0.0,AB1006,1944.31,27456,25934,3,0,0,0,JFK,0.0,0.0,0
165.06,501.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,0.0,1665.65,0
444.46,855.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
281.83,2400.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
349200.0,255000.0,0.0,AB1008,1554.98,23713,23713,2,2,23713,0,LAX,0.0,0.0,0
322.13,2455.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
427.26,96.0,0.0,AB1009,319.16,25233,25233,1,0,0,0,LAX,0.0,0.0,0
450.41,466.0,0.0,AB1006,5399.57,53228,53228,4,0,26478,0,JFK,0.0,0.0,0
299.71,3190.0,0.0,AB1006,11812.81,15520,15520,2,0,15520,0,JFK,0.0,0.0,0
453.56,722.0,0.0,AB1010,4967.21,25934,25934,1,0,0,0,JFK,0.0,0.0,0
454.26,399.0,0.0,AB1006,2629.77,25934,25934,1,0,0,0,JFK,0.0,0.0,0
446.96,135.0,0.0,AB1008,891.82,21675,21675,1,0,10867,0,LAX,0.0,0.0,0
281.53,409.0,0.0,AB1008,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
432.03,517.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
284.01,490.0,0.0,AB1009,3104.24,23902,23902,0,0,23902,0,LAX,0.0,0.0,0
429.01,120.0,0.0,AB1008,2828.4,52091,52091,1,1,52091,0,LAX,0.0,0.0,0
281.21,620.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
336400.0,285000.0,0.0,AB1008,0.0,0,0,0,0,0,0,LAX,0.0,422.085,0
255.96,550.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,0.0,1209.244,0
422.61,219.0,0.0,AB1008,1394.38,27869,27869,1,0,27869,0,LAX,0.0,0.0,0
301.31,570.0,0.0,AB1009,0.0,0,0,0,0,0,0,LAX,0.0,907.3,0
435.91,546.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
434.13,336.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
226.73,590.0,0.0,AB1010,6410.58,26478,26478,0,1,26478,0,JFK,0.0,3205.29,0
427.83,160.0,0.0,AB1009,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
454.51,547.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,0.0,2987.35,0
309.16,338.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,1859.0,1825.83,0
277.56,220.0,0.0,AB1009,3354.66,33280,33280,1,0,5567,0,LAX,0.0,670.932,0
278.66,250.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
444.86,613.0,0.0,AB1009,8576.02,32904,32904,3,2,11229,0,LAX,0.0,0.0,0
433.56,862.0,0.0,AB1010,10180.27,51956,51956,4,1,13088,0,JFK,0.0,0.0,0
280.46,200.0,0.0,AB1015,833.55,18647,18647,2,0,18647,0,LAX,0.0,0.0,0
279.56,109.0,0.0,AB1009,1939.49,56512,56512,7,4,28799,0,LAX,0.0,0.0,0
454.41,708.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,916.8771429,0
584.31,4822.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
282.35,2890.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
282.35,2862.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
282.35,5020.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
625.13,3392.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
427.86,96.0,0.0,AB1008,317.13,25233,25233,1,0,0,0,LAX,0.0,0.0,0
283.11,765.0,0.0,AB1006,4978.54,28705,28705,4,0,28705,0,JFK,0.0,0.0,0
428.03,290.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
545.61,3202.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,10093.5,0
454.06,686.0,0.0,AB1010,4561.42,25934,25934,0,0,0,0,JFK,0.0,0.0,0
318.73,1939.0,0.0,AB1008,159792.97,225248,179754,41,1,140858,0,LAX,0.0,0.0,0
454.43,375.0,0.0,AB1008,159792.97,225248,179754,41,1,140858,0,LAX,0.0,0.0,0
454.43,722.0,0.0,AB1008,159792.97,225248,179754,41,1,140858,0,LAX,0.0,0.0,0
567.71,2519.0,0.0,AB1008,159792.97,225248,179754,41,1,140858,0,LAX,0.0,0.0,0
567.71,2802.0,0.0,AB1008,159792.97,225248,179754,41,1,140858,0,LAX,0.0,0.0,0
547.41,3544.0,0.0,AB1008,159792.97,225248,179754,41,1,140858,0,LAX,0.0,0.0,0
625.13,2850.0,0.0,AB1008,159792.97,225248,179754,41,1,140858,0,LAX,0.0,0.0,0
236.2,1646.0,0.0,AB1009,0.0,0,0,0,0,0,0,LAX,0.0,12941.02,0
310.96,320.0,0.0,AB1008,0.0,0,0,0,0,0,0,LAX,0.0,232.6875,0
544.06,2660.0,0.0,AB1009,18681.36,23495,21675,1,0,0,0,LAX,0.0,0.0,0
544.06,2576.0,0.0,AB1009,18681.36,23495,21675,1,0,0,0,LAX,0.0,0.0,0
265.83,210.0,0.0,AB1009,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
280.16,460.0,0.0,AB1006,3049.79,33714,33714,1,0,16824,0,JFK,0.0,762.4475,0
544.06,4451.0,0.0,AB1010,29596.03,25934,25934,1,0,0,0,JFK,0.0,0.0,0
300.23,510.0,0.0,AB1009,4385.27,47384,43350,4,0,43350,0,LAX,0.0,487.2522222,0
299.36,190.0,0.0,AB1008,4385.27,47384,43350,4,0,43350,0,LAX,0.0,487.2522222,0
300.13,400.0,0.0,AB1009,4385.27,47384,43350,4,0,43350,0,LAX,0.0,487.2522222,0
279.56,135.0,0.0,AB1010,906.5,31972,31972,2,0,15953,0,JFK,0.0,0.0,0
385.71,1100.0,0.0,AB1006,20943.45,42569,38935,0,1,38935,0,JFK,0.0,2617.93125,1
374.4,319.0,0.0,AB1008,84.81,1415,0,1,0,0,0,LAX,0.0,84.81,0
455.61,637.0,0.0,AB1006,3998.06,26478,26478,2,0,26478,0,JFK,0.0,0.0,0
430.43,549.0,0.0,AB1006,3785.74,26478,26478,1,1,26478,0,JFK,0.0,0.0,0
304.63,1193.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,0.0,1284.739,0
172.81,604.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,0.0,1913.23,0
440.11,225.0,0.0,AB1008,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
298.06,180.0,0.0,AB1009,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
298.06,150.0,0.0,AB1009,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
283.31,300.0,0.0,AB1008,0.0,0,0,0,0,0,0,LAX,0.0,472.8375,0
435.83,310.0,0.0,AB1006,3752.41,19156,19156,4,0,17301,0,JFK,0.0,0.0,0
282.33,285.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
263.96,200.0,0.0,AB1008,0.0,0,0,0,0,0,0,LAX,0.0,430.8266667,0
8728.0,25000.0,0.0,AB1008,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
280.46,210.0,0.0,AB1009,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
333200.0,1002800.0,0.0,AB1008,0.0,0,0,0,0,0,0,LAX,0.0,1490.665,0
432.46,335.0,0.0,AB1009,1158.42,10808,10808,0,0,0,0,LAX,0.0,0.0,1
241.01,855.0,0.0,AB1009,0.0,0,0,0,0,0,0,LAX,0.0,3251.263333,0
281.93,2750.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
298.53,865.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
455.13,1085.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
453.66,750.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,13239.0,1855.628571,0
279.76,260.0,0.0,AB1009,1745.84,29455,29455,0,0,0,0,LAX,0.0,436.46,1
454.43,447.0,0.0,AB1010,5592.97,52412,52412,2,0,26478,0,JFK,0.0,0.0,0
451.01,855.0,0.0,AB1006,5397.84,26478,26478,1,0,26478,0,JFK,0.0,2698.92,0
280.06,229.0,0.0,AB1015,330.77,6038,6038,0,0,0,0,LAX,0.0,165.385,0
173.31,607.0,0.0,AB1008,0.0,0,0,0,0,0,0,LAX,0.0,929.0966667,0
237.21,585.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,13390.0,2314.285714,0
1139.0,3000.0,0.0,AB1010,2390.95,13088,13088,1,0,13088,0,JFK,0.0,0.0,0
280.06,229.0,0.0,AB1015,330.77,6038,6038,0,0,0,0,LAX,0.0,0.0,0
271.31,243.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,0.0,397.345,0
299.56,2375.0,0.0,AB1006,15653.38,29008,25934,3,0,0,0,JFK,0.0,0.0,0
543.76,4019.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,12160.0,8875.6725,0
351800.0,425000.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,647.9125,0
389.51,714.0,0.0,AB1010,4575.17,47287,47287,0,0,47287,0,JFK,0.0,0.0,0
299.76,2185.0,0.0,AB1010,14401.12,27193,25934,3,0,0,0,JFK,0.0,0.0,0
454.06,1733.0,6601.4,AB1006,0.0,0,0,0,0,0,12,JFK,8497.857143,4928.699355,0
283.51,305.0,0.0,AB1008,0.0,0,0,0,0,0,0,LAX,0.0,691.9557143,0
417.06,1100.0,0.0,AB1009,7424.16,27691,27691,3,0,0,0,LAX,0.0,0.0,0
305.13,749.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,0.0,0.0,1
454.06,959.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,8786.0,3366.736,0
279.56,135.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
279.56,109.0,0.0,AB1009,635.08,29455,29455,4,0,0,0,LAX,0.0,158.77,1
544.06,3032.0,0.0,AB1006,67281.01,72739,72739,0,1,16389,0,JFK,0.0,6728.101,0
503.66,4240.0,0.0,AB1006,67281.01,72739,72739,0,1,16389,0,JFK,0.0,6728.101,0
425.53,225.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,0.0,101.02,1
270.46,235.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
280.16,150.0,0.0,AB1008,497.25,13886,13886,2,0,13886,0,LAX,0.0,0.0,0
436.76,609.0,0.0,AB1006,0.0,25934,25934,2,0,13000,0,JFK,0.0,0.0,0
211.9,312.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
809.3,4721.0,0.0,AB1009,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
300.13,350.0,0.0,AB1010,7922.51,54865,52412,5,3,26478,0,JFK,0.0,0.0,0
293.91,542.0,0.0,AB1008,3401.81,23976,21675,2,0,21675,0,LAX,0.0,0.0,1
545.61,6018.0,0.0,AB1009,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
216.86,498.0,0.0,AB1008,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
455.61,694.0,0.0,AB1010,4399.42,26478,26478,0,0,26478,0,JFK,0.0,0.0,1
281.53,645.0,0.0,AB1008,5017.09,39906,38736,3,0,27869,0,LAX,0.0,0.0,0
352900.0,1051600.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
280.06,268.0,0.0,AB1015,0.0,0,0,0,0,0,0,LAX,0.0,416.9866667,0
455.51,803.0,0.0,AB1008,0.0,0,0,0,0,0,0,LAX,0.0,2556.35,0
264.06,280.0,0.0,AB1008,3780.94,25797,23499,3,2,11816,0,LAX,0.0,0.0,0
455.51,951.0,0.0,AB1009,6002.52,21675,21675,0,0,21675,0,LAX,0.0,0.0,0
257.2,1717.0,4121.5,AB1006,0.0,0,0,0,0,0,11,JFK,4121.5,3091.798,0
431.63,225.0,0.0,AB1010,18489.04,62905,53643,3,8,53643,0,JFK,2202.0,1232.602667,1
455.41,478.0,0.0,AB1008,18829.52,79698,65025,5,3,43350,0,LAX,0.0,0.0,0
435.91,912.0,0.0,AB1006,6970.21,26478,26478,1,0,26478,0,JFK,0.0,3485.105,0
278.66,175.0,0.0,AB1015,0.0,0,0,0,0,0,0,LAX,0.0,159.87,0
544.06,4336.0,0.0,AB1010,75936.47,67500,67500,4,1,39566,0,JFK,0.0,0.0,0
544.36,3800.0,0.0,AB1010,25105.46,40650,38868,1,0,0,0,JFK,0.0,8198.915,0
262.81,410.0,0.0,AB1006,9806.07,36386,36386,4,0,36386,0,JFK,0.0,0.0,0
84.86,400.0,0.0,AB1006,2381.69,14428,14428,1,0,0,0,JFK,0.0,0.0,0
298.03,2400.0,0.0,AB1009,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
273.11,774.0,0.0,AB1006,7539.14,57990,57990,4,0,29256,0,JFK,0.0,0.0,0
225.96,340.0,0.0,AB1009,4658.51,37135,37135,3,1,24001,0,LAX,0.0,0.0,0
275.23,2400.0,0.0,AB1009,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
454.16,1598.0,0.0,AB1008,0.0,0,0,0,0,0,0,LAX,0.0,5638.526667,0
422.23,224.0,0.0,AB1008,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
450.26,631.0,0.0,AB1010,2287.37,12934,12934,1,0,0,0,JFK,0.0,0.0,1
280.33,110.0,0.0,AB1008,0.0,0,0,0,0,0,0,LAX,0.0,0.0,1
280.36,550.0,0.0,AB1010,3624.99,31972,31972,1,0,0,0,JFK,0.0,0.0,0
299.16,3690.0,0.0,AB1006,62686.73,113040,101730,1,0,75796,0,JFK,0.0,0.0,0
343.93,1255.0,0.0,AB1010,8743.58,43879,43879,2,1,43879,0,JFK,0.0,0.0,0
264.03,240.0,0.0,AB1008,3096.42,59892,55980,0,2,31583,0,LAX,0.0,0.0,0
433.73,274.0,1665.0,AB1010,0.0,0,0,0,0,0,1,JFK,1921.0,1147.040526,0
289.11,3448.0,0.0,AB1006,41015.03,59915,59915,6,0,59915,0,JFK,0.0,0.0,0
290.51,2500.0,0.0,AB1006,41015.03,59915,59915,6,0,59915,0,JFK,0.0,0.0,0
278.96,290.0,0.0,AB1008,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
455.51,428.0,0.0,AB1010,5848.84,52412,52412,0,0,26478,0,JFK,0.0,1462.21,1
455.43,885.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
220.7,990.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
255.96,208.0,0.0,AB1015,138.17,2414,2414,1,0,2414,0,LAX,0.0,0.0,0
468.26,165.0,0.0,AB1010,1148.47,14661,13000,0,0,0,0,JFK,0.0,0.0,0
409.44,456.0,0.0,AB1009,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
280.46,280.0,0.0,AB1006,1856.41,29477,29477,0,0,29477,0,JFK,0.0,0.0,0
293.23,1911.0,0.0,AB1008,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
280.16,149.0,0.0,AB1015,107.41,3019,3019,0,0,0,0,LAX,0.0,0.0,0
2040.0,26390.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
403.56,480.0,0.0,AB1008,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
572.6,480.0,0.0,AB1009,8273.27,35656,35182,4,0,5421,0,LAX,0.0,0.0,0
296.51,361.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,0.0,578.3,0
279.36,240.0,0.0,AB1015,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
302.11,518.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
299.06,340.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
274.71,620.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,977.2,0
455.41,1026.0,0.0,AB1009,6532.54,21675,21675,0,0,21675,0,LAX,0.0,0.0,1
8720.0,9000.0,0.0,AB1008,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
277.91,950.0,0.0,AB1006,6087.41,32672,32672,0,0,32672,0,JFK,0.0,0.0,0
433.81,425.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,0.0,1450.615,0
453.56,220.0,0.0,AB1009,0.0,0,0,0,0,0,0,LAX,0.0,756.78,0
279.26,300.0,0.0,AB1015,174.73,2000,2000,0,0,0,0,LAX,0.0,0.0,0
455.61,395.0,0.0,AB1010,14076.08,73135,73135,3,0,73135,0,JFK,0.0,0.0,0
454.41,832.0,0.0,AB1008,7089.92,47034,43114,4,0,21675,0,LAX,0.0,0.0,0
299.15,559.0,0.0,AB1008,7089.92,47034,43114,4,0,21675,0,LAX,0.0,0.0,0
300.43,4254.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
154.53,2446.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
454.43,1767.0,0.0,AB1010,0.0,0,0,0,0,0,0,JFK,13088.0,7676.306667,0
278.63,200.0,0.0,AB1009,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
271.06,130.0,0.0,AB1009,856.81,30529,30529,4,0,0,0,LAX,0.0,0.0,0
299.06,390.0,0.0,AB1010,2618.76,28550,25934,4,0,25934,0,JFK,0.0,654.69,0
457.63,469.0,4595.6,AB1009,107557.33,181384,166451,20,3,163134,12,LAX,2699.636364,3072.36027,0
226.03,569.0,0.0,AB1006,0.0,0,0,0,0,0,0,JFK,0.0,0.0,0
274.13,120.0,0.0,AB1009,0.0,0,0,0,0,0,0,LAX,0.0,0.0,0
279.31,545.0,0.0,AB1009,0.0,0,0,0,0,0,0,LAX,0.0,858.9875,0
279.86,2400.0,0.0,AB1010,1863.09,3810,3810,1,0,3810,0,JFK,0.0,1863.09,0
